distance_km,cost
26.85,73547.0
20.97,58336.0
15.7,43229.0
14.86,41105.0
12.27,35388.0
13.06,37052.0
15.97,46330.0
10.29,30873.0
28.49,75409.0
28.69,76161.0
18.04,51078.0
2.31,10237.0
9.67,29289.0
22.84,60755.0
26.84,72150.0
24.13,64447.0
18.4,49645.0
29.55,79168.0
24.34,64815.0
4.16,16879.0
18.38,49497.0
1.1,6679.0
18.88,51107.0
13.84,40278.0
9.67,29397.0
13.06,36301.0
3.03,13930.0
28.44,74650.0
4.02,16161.0
24.69,66216.0
29.31,77545.0
1.62,10191.0
24.06,66107.0
6.88,23328.0
9.72,28087.0
4.89,17085.0
4.24,14923.0
27.38,73661.0
23.4,64876.0
13.12,38183.0
7.89,24095.0
3.88,14159.0
28.76,76981.0
5.92,20993.0
3.17,13636.0
5.77,18097.0
7.84,24188.0
2.01,9698.0
21.15,57252.0
3.59,14684.0
11.83,33797.0
11.11,31492.0
27.06,72238.0
3.88,13715.0
1.72,9259.0
1.48,8714.0
3.73,13463.0
3.53,13955.0
15.13,42903.0
15.0,43151.0
19.19,53664.0
12.5,35620.0
27.32,74563.0
4.13,15212.0
1.08,8947.0
13.81,38904.0
16.75,47087.0
26.46,69895.0
29.48,78091.0
21.22,58503.0
7.73,25421.0
13.75,38759.0
16.27,46745.0
24.23,65910.0
4.27,16474.0
24.36,64650.0
15.02,42865.0
23.79,64063.0
12.92,37654.0
22.76,63348.0
3.48,13906.0
1.53,8267.0
2.59,10396.0
27.15,74198.0
5.51,19750.0
23.25,62168.0
27.23,73021.0
4.27,15173.0
11.95,33879.0
2.0,10399.0
17.41,48904.0
14.66,40842.0
11.14,31785.0
4.2,15303.0
28.13,76022.0
28.74,77270.0
25.23,68174.0
9.87,29253.0
28.15,74987.0
25.07,68713.0
2.96,11583.0
4.87,17088.0
21.19,58930.0
25.23,68677.0
26.94,71035.0
9.24,29091.0
7.23,24012.0
7.89,25796.0
28.55,77587.0
5.75,18114.0
20.29,55440.0
22.17,61342.0
16.05,44965.0
12.24,36757.0
6.27,21881.0
20.64,55142.0
22.8,61167.0
12.37,35958.0
24.08,66176.0
20.18,56251.0
23.64,63871.0
11.59,34331.0
27.72,75141.0
11.44,33970.0
21.59,59709.0
17.45,47423.0
6.97,22393.0
8.9,25869.0
6.69,20835.0
26.34,69808.0
5.64,19322.0
27.15,72081.0
12.65,37030.0
22.46,61453.0
17.03,47842.0
5.29,19074.0
10.54,30337.0
23.43,63783.0
26.72,71437.0
