player_a,player_b,player_a_ranking,player_b_ranking,ranking_difference,player_a_recent_win_rate,player_b_recent_win_rate,player_a_wins
Jaume Munar,Sebastian Ofner,63.0,54.0,-9.0,0.4,0.4,0
Federico Delbonis,Carlos Taberner,41.0,105.0,64.0,0.2,0.4,0
Karen Khachanov,Matteo Berrettini,24.0,41.0,17.0,0.8,0.7,1
Gregoire Barrere,Thanasi Kokkinakis,128.0,94.0,-34.0,0.3,0.4,1
Yoshihito Nishioka,Maximilian Marterer,54.0,105.0,51.0,0.6,0.4,1
Flavio Cobolli,Novak Djokovic,30.0,4.0,-26.0,0.7,0.8,0
Alejandro Tabilo,Miomir Kecmanovic,113.0,63.0,-50.0,0.5,0.7,1
Marin Cilic,Sebastian Baez,23.0,59.0,36.0,0.5,0.6,0
Thanasi Kokkinakis,Benoit Paire,145.0,47.0,-98.0,0.6,0.2,1
Mackenzie Mcdonald,Aleksandar Vukic,74.0,93.0,19.0,0.3,0.3,0
Ricardas Berankis,Federico Delbonis,101.0,62.0,-39.0,0.6,0.1,0
Nikoloz Basilashvili,Lorenzo Musetti,26.0,57.0,31.0,0.5,0.6,1
Thanasi Kokkinakis,Frances Tiafoe,171.0,38.0,-133.0,0.42857142857142855,0.8,1
Christopher Oconnell,Jannik Sinner,66.0,3.0,-63.0,0.6,0.9,0
Bernabe Zapata Miralles,Roberto Carballes Baena,76.0,77.0,1.0,0.2,0.5,1
Emil Ruusuvuori,J J Wolf,44.0,83.0,39.0,0.5,0.6,1
Frances Tiafoe,Hubert Hurkacz,26.0,7.0,-19.0,0.6,0.8,1
Alex Michelsen,Jordan Thompson,74.0,40.0,-34.0,0.6,0.7,0
J J Wolf,John Isner,43.0,39.0,-4.0,0.6,0.4,0
Daniil Medvedev,Carlos Alcaraz,3.0,1.0,-2.0,0.7,0.8,1
Felix Auger Aliassime,Jo-Wilfried Tsonga,9.0,243.0,234.0,0.9,0.2,1
Roberto Bautista Agut,Sebastian Korda,21.0,33.0,12.0,0.5,0.7,0
Sebastian Ofner,Casper Ruud,58.0,4.0,-54.0,0.4,0.7,0
Elias Ymer,Sebastian Baez,119.0,37.0,-82.0,0.5,0.3,1
Jannik Sinner,Yoshihito Nishioka,7.0,38.0,31.0,0.8,0.6,1
Casper Ruud,Miomir Kecmanovic,5.0,40.0,35.0,0.6,0.7,1
Dusan Lajovic,Stefanos Tsitsipas,59.0,7.0,-52.0,0.5,0.7,0
Jason Kubler,James Duckworth,102.0,74.0,-28.0,0.6666666666666666,0.2,1
Novak Djokovic,Holger Rune,1.0,8.0,7.0,1.0,0.5,1
Felix Auger Aliassime,Marc Andrea Huesler,9.0,62.0,53.0,1.0,0.6,1
Alex De Minaur,Adrian Mannarino,18.0,46.0,28.0,0.6,0.5,1
J J Wolf,Tallon Griekspoor,45.0,37.0,-8.0,0.7,0.7,0
Matteo Arnaldi,Frances Tiafoe,35.0,29.0,-6.0,0.6,0.4,0
Alex Michelsen,Kei Nishikori,55.0,576.0,521.0,0.6,0.4,0
Christopher Eubanks,Alexander Bublik,44.0,17.0,-27.0,0.1,0.6,1
Pablo Carreno Busta,Sebastian Korda,513.0,15.0,-498.0,0.3,0.9,1
Borna Coric,Lorenzo Musetti,152.0,33.0,-119.0,0.6,0.6,1
Thanasi Kokkinakis,Jack Draper,103.0,53.0,-50.0,0.3,0.6,1
Alex Michelsen,Tennys Sandgren,75.0,281.0,206.0,0.3,0.2,1
Marcos Giron,Lorenzo Sonego,59.0,49.0,-10.0,0.5,0.5,0
Miomir Kecmanovic,Roberto Bautista Agut,50.0,93.0,43.0,0.4,0.4,0
Daniel Elahi Galan,Hugo Dellien,127.0,109.0,-18.0,0.4,0.25,1
Cameron Norrie,Felix Auger Aliassime,12.0,11.0,-1.0,0.4,0.6,0
Maxime Cressy,Alex Michelsen,105.0,140.0,35.0,0.1,0.6666666666666666,1
James Duckworth,Dominik Koepfer,123.0,84.0,-39.0,0.5,0.4,0
Reilly Opelka,Jenson Brooksby,23.0,54.0,31.0,0.6,0.8,1
Hubert Hurkacz,Alexander Bublik,10.0,37.0,27.0,0.6,0.5,1
Diego Schwartzman,Pablo Andujar,14.0,74.0,60.0,0.7,0.5,1
Cristian Garin,Dominic Thiem,100.0,99.0,-1.0,0.3,0.4,1
Taylor Fritz,Grigor Dimitrov,13.0,10.0,-3.0,0.8,0.7,1
Jaume Munar,Tallon Griekspoor,58.0,95.0,37.0,0.3,0.3,0
Diego Schwartzman,Stefanos Tsitsipas,16.0,5.0,-11.0,0.7,0.8,0
Reilly Opelka,Adrian Mannarino,20.0,53.0,33.0,0.9,0.7,1
Jaume Munar,Pablo Carreno Busta,99.0,16.0,-83.0,0.4,0.6,1
John Millman,Daniel Elahi Galan,73.0,118.0,45.0,0.5,0.3,0
Emil Ruusuvuori,Alexander Bublik,40.0,55.0,15.0,0.7,0.4,1
Emil Ruusuvuori,Juncheng Shang,88.0,104.0,16.0,0.3,0.4,0
Albert Ramos,Sebastian Baez,31.0,78.0,47.0,0.6,0.5,0
Dusan Lajovic,Lorenzo Sonego,51.0,55.0,4.0,0.5,0.5,0
Daniil Medvedev,Alex De Minaur,3.0,13.0,10.0,0.7,0.8,1
Andy Murray,Nick Kyrgios,68.0,78.0,10.0,0.6,0.8,1
Benoit Paire,Zachary Svajda,227.0,113.0,-114.0,0.1,0.3,1
Carlos Alcaraz,Alexandre Muller,1.0,84.0,83.0,1.0,0.6,1
Jan Lennard Struff,Zizou Bergs,132.0,134.0,2.0,0.2,0.2222222222222222,1
Ugo Humbert,Gael Monfils,78.0,280.0,202.0,0.6,0.5,1
Richard Gasquet,Stan Wawrinka,43.0,105.0,62.0,0.6,0.4,0
Roberto Carballes Baena,Marton Fucsovics,51.0,83.0,32.0,0.5,0.6,1
Stan Wawrinka,Roberto Carballes Baena,72.0,59.0,-13.0,0.6,0.4,1
Matteo Arnaldi,Kei Nishikori,46.0,576.0,530.0,0.4,0.5,1
Taylor Fritz,Aslan Karatsev,8.0,48.0,40.0,0.5,0.7,1
Nicolas Moreno De Alboran,David Goffin,157.0,102.0,-55.0,0.16666666666666666,0.4,1
Aleksandar Kovacevic,Harold Mayot,91.0,124.0,33.0,0.2,0.4,1
Cristian Garin,Bernabe Zapata Miralles,87.0,79.0,-8.0,0.4,0.2,0
Ben Shelton,Roman Safiullin,20.0,50.0,30.0,0.7,0.7,1
Sebastian Ofner,Sebastian Korda,118.0,30.0,-88.0,0.4,0.6,1
Jannik Sinner,Alexander Zverev,1.0,4.0,3.0,0.8,0.8,1
Grigor Dimitrov,Carlos Alcaraz,12.0,2.0,-10.0,0.8,0.9,1
Novak Djokovic,Grigor Dimitrov,1.0,33.0,32.0,0.7,0.5,1
Aslan Karatsev,Tallon Griekspoor,14.0,62.0,48.0,0.6,0.6,0
Alexander Bublik,Alexander Zverev,53.0,16.0,-37.0,0.4,0.5,0
Thiago Monteiro,Pablo Andujar,62.0,115.0,53.0,0.3,0.2,0
Jordan Thompson,Brandon Nakashima,83.0,82.0,-1.0,0.4,0.6,1
Francisco Cerundolo,Alexandre Muller,22.0,79.0,57.0,0.5,0.2,0
James Duckworth,Christopher Eubanks,106.0,33.0,-73.0,0.4,0.4,1
Carlos Alcaraz,Karen Khachanov,3.0,27.0,24.0,0.8,0.4,1
Bernabe Zapata Miralles,Ben Shelton,64.0,41.0,-23.0,0.2,0.2,0
Casper Ruud,Rafael Nadal,8.0,5.0,-3.0,0.9,0.7,0
